topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9
0.000400099054177,0.000400075843876,0.000400097076679,0.215066726016,0.000400080804932,0.000400073822094,0.58590159287,0.181099541545,0.0155389640782,0.000400115349102
0.25424114917,0.00090924565163,0.000909234001743,0.000909263136011,0.000909215138396,0.000909201287601,0.0651975397173,0.000909263173227,0.673739136216,0.000909318501253
0.000877345847998,0.000877415257049,0.000877443323121,0.000877395491596,0.0628626995812,0.000877417133317,0.000877437282715,0.000877375633609,0.000877359389047,0.930140844312
0.835038096489,0.000909233442694,0.00090930421871,0.000909430259894,0.000909221334902,0.000909256406787,0.000909367411874,0.000909344104792,0.157708032906,0.000909298177284
0.982685038767,0.00192337096815,0.00192477032322,0.00192370543693,0.00192328104206,0.0019233541042,0.0019234339337,0.00192447476809,0.0019235589114,0.00192498750889
0.000187308495645,0.000187318327842,0.00018731817335,0.000187300552858,0.000187304775742,0.429488972009,0.346886302903,0.0957146647389,0.000187306832353,0.127778920533
0.000752053809134,0.293585973644,0.000752005567861,0.000752042563916,0.00075207346172,0.341030805006,0.0697467462239,0.273702953661,0.021615893062,0.000752032878425
0.663637496065,0.315816975034,0.00256493048168,0.00256445633023,0.00256473974317,0.00256489307383,0.0025648593871,0.00256459208118,0.00256461400007,0.00256485214669
0.000193463994984,0.367830325109,0.092561267022,0.000193468006273,0.000193457599308,0.000193459692207,0.000193472820835,0.470029703601,0.000193462519558,0.0681613509782
0.000584897311131,0.0128692742467,0.00058494082509,0.00058490638194,0.000585214913724,0.00058497782232,0.000584907917398,0.000584932276071,0.000584889688148,0.982440409509
0.000885224381225,0.000885100499644,0.000885119185468,0.722592211949,0.000885135628938,0.000885098794693,0.270356976663,0.000885170200599,0.000885181278205,0.000885152229207
0.816910367976,0.0010102327676,0.00101030224973,0.00101034550745,0.00101023982107,0.00101025994473,0.0010102906532,0.174984498043,0.00101033780783,0.00101048095485
0.00116292246178,0.00116290245601,0.989533364061,0.00116306427854,0.0011630088135,0.00116294770568,0.00116294541047,0.00116296240933,0.00116293622708,0.00116292690818
0.00909189425058,0.00909279032265,0.00909292178734,0.00909325444607,0.00909221571559,0.24774845082,0.00909300688911,0.00909304541381,0.00909450402831,0.679378100309
0.0166683789361,0.0166675810796,0.849984518423,0.0166680946593,0.0166675532915,0.0166672273505,0.0166684822723,0.0166711460163,0.0166684019682,0.0166686155732
0.224334297844,0.00846394796505,0.111946252888,0.0663885288982,0.000150185636342,0.000150185267613,0.250819075477,0.259729808194,0.000150192355327,0.0776840356779
0.00217438933755,0.00217451124307,0.00217439659139,0.00217448590706,0.633083001445,0.00217444606363,0.00217449659967,0.3494954172,0.00217435814036,0.00217432907575
0.691645374775,0.00181850699028,0.00181855969321,0.00181853312465,0.0633332613751,0.00181861016031,0.00181865749156,0.00181861698796,0.23228265748,0.0018185609121
0.000480876323702,0.000480831630362,0.000480873913828,0.00048086361322,0.000480820889363,0.000480824139125,0.0222513085525,0.000480936367135,0.000480849862304,0.973899313413
0.0034438844624,0.0381353584764,0.805959381533,0.00312570505729,0.00312540027669,0.00312548671994,0.00312575649328,0.119625129713,0.00312563011785,0.00312539747207
0.211243957183,0.144321334269,0.030834144507,0.000534899845787,0.000534876859956,0.000534903019505,0.184366983377,0.421657139487,0.000534889699023,0.0120266766781
0.00117678424886,0.535938376852,0.00117671350058,0.128967607981,0.00117685186852,0.00117688501789,0.327136119341,0.00117679167894,0.00117677998771,0.00117671275638
0.388499656829,0.00062908715918,0.000629101398639,0.000629095346864,0.108709502356,0.000629173391163,0.498418189548,0.000629111602226,0.000629101473367,0.000629120423598
0.000321639375762,0.00032159406661,0.354682201716,0.000321631345786,0.000321590935095,0.000321593673337,0.161135009488,0.0905618998049,0.00032160947699,0.390287049621
0.00042930449502,0.000429290455038,0.346709851104,0.000429322096313,0.000429266825995,0.60864120899,0.000429314463565,0.000429290814304,0.0420747254761,0.000429274674462
0.164702289221,0.000315495819132,0.000315506765493,0.000315515302969,0.00031548575388,0.000315486574312,0.000315508823768,0.832882922394,0.000315507266577,0.000315514278802
0.879961126876,0.0016396195986,0.00163973127293,0.106936998259,0.00163957651194,0.00163953911343,0.0016396888934,0.00163971442127,0.00163962804474,0.00163972901711
0.912948153503,0.00175468074404,0.0017547988794,0.00175475850412,0.0017546823426,0.00175459446633,0.0753389102774,0.00175483932282,0.00175475073007,0.00175480793772
0.614697292296,0.000869764737518,0.000869791940517,0.000869815694341,0.000869719082295,0.000869727153986,0.37838943511,0.000869799986631,0.000869839993706,0.000869800649345
0.000389174287297,0.46976393555,0.0540510603459,0.000389167932504,0.000389155609672,0.000389220207484,0.00038916152648,0.000389170831924,0.000389167506217,0.473433370384
0.887485926716,0.0125004836061,0.0125008074603,0.0125007112603,0.0125011870033,0.0125009365613,0.012501900598,0.0125039925587,0.0125011627536,0.0125025148501
